,timestamp,open,high,low,close,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col
19,2020-04-24 10:30:00,1377.84,1383.8,1374.89,1375.84,633285,60.50270367199756,1371.1200000000003,-1.7852134013928875,1380.988784826892,1370.4729999999995,1359.957215173107,-0.0,2.0,"1380.0680416120792,1381.105793358574,1380.988784826892","1357.52395838792,1358.0862066414252,1359.957215173107",13.799045783404068,
18,2020-04-24 10:45:00,1375.2,1382.0,1374.45,1379.5,394888,62.46573084696415,1372.3485714285719,1.9630271749665908,1381.712358700626,1371.3804999999998,1361.0486412993735,1.0,1.0,"1381.105793358574,1380.988784826892,1381.712358700626","1358.0862066414252,1359.957215173107,1361.0486412993735",8.999801480462708,
17,2020-04-24 11:00:00,1379.6,1399.0,1379.6,1395.5,1703800,69.58280759366275,1377.9628571428573,7.117076746698601,1387.5555015988834,1372.6604999999995,1357.7654984011156,6.0,-3.0,"1380.988784826892,1381.712358700626,1387.5555015988834","1359.957215173107,1361.0486412993735,1357.7654984011156",50.4073475999993,divergence
16,2020-04-24 11:15:00,1395.5,1412.6,1395.45,1411.0,2378143,74.60620650889136,1384.234285714286,5.023398915228611,1397.3341072642836,1374.6754999999996,1352.0168927357156,10.0,-6.0,"1381.712358700626,1387.5555015988834,1397.3341072642836","1361.0486412993735,1357.7654984011156,1352.0168927357156",25.607952607625208,divergence
15,2020-04-24 11:30:00,1411.0,1424.25,1410.2,1415.25,2705992,75.7869873211092,1389.9128571428573,1.180780812217833,1405.7136336061221,1377.1879999999996,1348.6623663938772,8.0,-3.0,"1387.5555015988834,1397.3341072642836,1405.7136336061221","1357.7654984011156,1352.0168927357156,1348.6623663938772",15.571389338122117,
14,2020-04-24 11:45:00,1414.55,1425.0,1408.0,1422.8,2129852,77.76496851214529,1396.8414285714287,1.9779811910360934,1414.5668966074747,1379.5129999999995,1344.4591033925242,9.0,-4.0,"1397.3341072642836,1405.7136336061221,1414.5668966074747","1352.0168927357156,1348.6623663938772,1344.4591033925242",5.632381060842448,
13,2020-04-24 12:00:00,1422.3,1448.8,1421.05,1439.3,4166996,81.35055993976552,1405.5985714285714,3.58559142762023,1426.7060264810325,1382.9554999999996,1339.2049735189667,12.0,-5.0,"1405.7136336061221,1414.5668966074747,1426.7060264810325","1348.6623663938772,1344.4591033925242,1339.2049735189667",13.743783278025177,
12,2020-04-24 12:15:00,1440.0,1446.0,1432.4,1445.9,1816450,82.56190211406451,1415.607142857143,1.2113421742989914,1438.1907669419563,1386.8749999999995,1335.5592330580428,11.0,-4.0,"1414.5668966074747,1426.7060264810325,1438.1907669419563","1344.4591033925242,1339.2049735189667,1335.5592330580428",9.075241130792051,
11,2020-04-24 12:30:00,1446.12,1466.54,1443.78,1462.62,2870532,85.18687462943264,1427.4814285714285,2.6249725153681283,1452.2648856748483,1391.4934999999996,1330.7221143251509,14.0,-5.0,"1426.7060264810325,1438.1907669419563,1452.2648856748483","1339.2049735189667,1335.5592330580428,1330.7221143251509",11.258315677400248,
10,2020-04-24 12:45:00,1462.5,1494.9,1462.0,1467.75,5795356,85.88874523950663,1437.802857142857,0.7018706100739962,1465.175164183485,1396.1859999999995,1327.1968358165138,13.0,-4.0,"1438.1907669419563,1452.2648856748483,1465.175164183485","1335.5592330580428,1330.7221143251509,1327.1968358165138",8.582294332255884,
9,2020-04-24 13:00:00,1467.56,1491.58,1462.98,1465.26,4144879,83.81293302479088,1445.5542857142857,-2.0758122147157536,1475.248100632267,1400.9814999999994,1326.7148993677317,10.0,-0.0,"1452.2648856748483,1465.175164183485,1475.248100632267","1330.7221143251509,1327.1968358165138,1326.7148993677317",23.520521501595624,
8,2020-04-24 13:15:00,1465.45,1469.55,1455.0,1456.55,1810437,76.81896344475275,1451.4542857142856,-6.993969580038126,1482.170477423104,1405.1284999999993,1328.0865225768946,7.0,1.0,"1465.175164183485,1475.248100632267,1482.170477423104","1327.1968358165138,1326.7148993677317,1328.0865225768946",20.9130877541798,
